base_year,series,year,indicator,frequency,revision,industry,subindustry,institutional_sector,quarter,current_price,constant_price,unit
2011-12,Back,2011-12,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Crops,,,982151.1891356299,982151.0391356299,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Livestock,,,327333.71211591654,327333.71211591654,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,,124435.75267007475,124435.75267007475,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,,68026.78803297665,68026.78803297665,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",,,,1501947.441954598,1501947.291954598,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Mining and Quarrying,,,,261035,261035.36902221516,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Manufacturing,"Food Products, Beverages and Tobacco",,,167524,167524.26127061233,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Manufacturing,"Textiles, Apparel and Leather Products",,,153238,153237.52548529636,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Manufacturing,Metal Products,,,229627,229627.3943983423,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Manufacturing,Machinery and Equipment,,,334670,334669.51228540164,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Manufacturing,Other Manufactured Goods,,,524927,524926.8775658148,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Manufacturing,,,,1409986,1409985.5710054673,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Electricity, Gas, Water Supply & Other Utility Services",,,,186668,186668.30093039598,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Construction,,,,777335,777334.4623841713,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,,,793681,793681.8284354993,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,,,89901,89901.11349125468,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",,,,883582,883582.9419267541,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,,,61150,61151,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,,,262442,262441.24886906834,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,,,6910,6910.93585220804,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,,,4393,4392.697539399289,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,,,63602,63601.8644785176,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,,,5108,5107.318983587628,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,,,125930,125929.81715913037,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",,,,529535,529534.8828819112,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Financial Services,,,,480226,480225.89,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,"Real Estate, Ownership of Dwelling & Professional Services",,,,1050651,1050652.4513343426,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Public Administration and Defence,,,,491155,491154.63998833444,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Other Services,,,,534827,534826.4524048845,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,Total Gross Value Added,,,,8106948,8106948.203833075,₹ Crore
2011-12,Back,2011-12,Gross Value Added,Annual,,,,,,8106948,8106948.203833075,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Crops,,,877255.6958720548,916216.1905474126,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Livestock,,,250867.35351981162,304474.8090369434,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,,114504.64653836377,126279.37607244846,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,,57256.38508739664,64663.3551831545,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",,,,1299884.081017627,1411633.730839959,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Mining and Quarrying,,,,251303.02973783252,316533.496603334,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Manufacturing,"Food Products, Beverages and Tobacco",,,149766.03785309373,143177.92562196654,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Manufacturing,"Textiles, Apparel and Leather Products",,,155790.74249244027,151320.6470598427,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Manufacturing,Metal Products,,,217537.75542805422,232509.94789348464,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Manufacturing,Machinery and Equipment,,,275570.3143099177,307612.39637786034,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Manufacturing,Other Manufactured Goods,,,501480.7295899572,532637.0729356734,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Manufacturing,,,,1300145.5796734632,1367257.9898888278,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Electricity, Gas, Water Supply & Other Utility Services",,,,161495.1620453248,171946.78734101582,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Construction,,,,632753.7549170326,687071.4808021543,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,,,666811.2893436329,750536.262613048,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,,,75399.90623738048,84433.42160355469,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",,,,742211.1955810133,834969.6842166027,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,,,55464.23154561944,57021,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,,,217871.9175747403,244325.48583988956,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,,,6532.567522544742,7747.317714435302,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,,,4996.556432250136,3961.058749164286,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,,,49617.88834922351,56533.40662410902,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Storage,,,4287.748107687285,4716.105678796609,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Communication & Services Related to Broadcasting,,,110779.21816194966,119347.72635134347,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",,,,449550.1276940151,493652.10095773824,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Financial Services,,,,427102.3246496635,464305.2761251068,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,"Real Estate, Ownership of Dwelling & Professional Services",,,,916683.4323513503,1000758.9872468801,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Public Administration and Defence,,,,435760.6353672082,470838.87080170616,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Other Services,,,,466781.33227077365,485545.80414221477,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,Total Gross Value Added,,,,7083670.6553053055,7704514.20896554,₹ Crore
2011-12,Back,2010-11,Gross Value Added,Annual,,,,,,7083670.6553053055,7704514.20896554,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Crops,,,706037.0923755979,822186.2653728025,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Livestock,,,203990.7325428704,283776.61569988844,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Forestry and Logging,,,105627.55302587742,130323.74290066713,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",Fishing and Aquaculture,,,50352.93265578116,61269.14040397036,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Agriculture, Livestock, Forestry and Fishing",,,,1066008.3106001269,1297555.7643773283,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,Mining and Quarrying,,,,193262.7272920563,278970.0498955693,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,Manufacturing,"Food Products, Beverages and Tobacco",,,122207.10376257109,160538.9313606042,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,Manufacturing,"Textiles, Apparel and Leather Products",,,124167.50741048034,141876.49322793566,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,Manufacturing,Metal Products,,,179828.40479139035,208608.58576863003,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,Manufacturing,Machinery and Equipment,,,239915.28286898576,282541.0277562494,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,Manufacturing,Other Manufactured Goods,,,425311.55123361014,475998.67260002124,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,Manufacturing,,,,1091429.8500670376,1269563.7107134406,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Electricity, Gas, Water Supply & Other Utility Services",,,,140906.2238525043,160528.59794762067,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,Construction,,,,555714.2687618387,647639.1443679368,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",Trade & Repair Services,,,542511.4385128572,650620.6009553918,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",Hotels & Restaurants,,,60781.99486367969,72424.79241728513,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Trade, Repair, Hotels and Restaurants",,,,603293.4333765369,723045.3933726769,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Railways,,,53681.1394991752,54151,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Road Transport,,,180463.3127936842,225445.77034737635,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Water Transport,,,5389.566788551897,7391.013739010888,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Air Transport,,,3880.0347227147718,3386.486719626511,₹ Crore
2011-12,Back,2009-10,Gross Value Added,Annual,,"Transport, Storage, Communication & Services Related to Broadcasting",Services Incidental to Transport,,,41078.379441694145,52707.00377130319,₹ Crore
